merchantName,description,category
savings transfer,epargne mensuelle avril 5727,EPARGNE
saving account,mensuel epargne janvier,EPARGNE
immo service,paiement location paiement juillet,LOGEMENT
saving account,paiement virement epargne,EPARGNE
Ooredoo,paiement telecom facture maison,FACTURES
virement employeur,versement employeur avril 8093,SALAIRE
cafe ben yedder,paiement cafe tunis,RESTAURANT
mg,paiement achat fruits legumes sfax 4533,ALIMENTATION
pharma plus,bilan medical lac 4570,SANTE
Spotify,achat console game weekend,LOISIRS
كراء,paiement location paiement fevrier,LOGEMENT
Pharma Plus,medical appointment sousse,SANTE
apartment owner,residence frais janvier en ligne,LOGEMENT
pharmaplus,doctor visit,SANTE
laboratoire,paiement soins medicaux,SANTE
fast food,paiement coffee break tunis en ligne,RESTAURANT
netflix,weekend loisirs weekend,LOISIRS
XBOX,film weekend mars,LOISIRS
سوق,achat epicerie lac,ALIMENTATION
ادخار,paiement mensuel epargne 8653,EPARGNE
residence ennasr,paiement maison loyer paiement juin,LOGEMENT
gare routiere,trajet tunis sfax,TRANSPORT
taxi tunis,trajet travail tunis,TRANSPORT
كراء,location paiement janvier visa,LOGEMENT
كراء,paiement charges immeuble mai 1434,LOGEMENT
وكالة عقارية,maison loyer paiement mai 3403 mastercard,LOGEMENT
campus service,achat livres mars,EDUCATION
تعليم,course abonnement 2026 2831,EDUCATION
pharma plus,ordonnance medicaments,SANTE
apartment owner,paiement loyer mai 181,LOGEMENT
landlord,maison loyer paiement mars,LOGEMENT
burger king,dejeuner ariana,RESTAURANT
wifi bill,paiement telecom facture juin 317 visa,FACTURES
xbox,film weekend weekend 5938,LOISIRS
salon beaute,paiement achat sport en ligne 7346,SHOPPING
صيدلية,visite medicale lac,SANTE
جامعة,paiement cours,EDUCATION
راتب,bonus entreprise mai,SALAIRE
khallas unknown,non classe paiement en ligne,AUTRE
وكالة عقارية,paiement syndic building frais septembre,LOGEMENT
plan epargne,virement epargne juin,EPARGNE
udemy,paiement cours semestre 1,EDUCATION
pstb,book achat 2026 mastercard,EDUCATION
unknown service,operation diverse 9211,AUTRE
لواج,paiement bus pass bizerte,TRANSPORT
yum yum,paiement carte restaurant,RESTAURANT
online shop,achat clothes tunis 2465,SHOPPING
Wifi Bill,paiement water facture maison 8441 carte,FACTURES
radiologie,paiement soins medicaux manar,SANTE
UNKNOWN MERCHANT,paiement divers service en ligne 6243,AUTRE
epicerieelamen,achat epicerie sfax,ALIMENTATION
internet provider,facture mobile mai 1562 en ligne,FACTURES
HANOUT,nourriture groceries gabes 1859,ALIMENTATION
Compte Epargne,paiement epargne versement janvier 3885,EPARGNE
medecin,medical appointment,SANTE
zara,paiement achat vetements lac,SHOPPING
Paie,paiement mensuel salaire mars,SALAIRE
APARTMENT OWNER,paiement location paiement avril,LOGEMENT
Fresh Market,paiement courses maison ariana,ALIMENTATION
plan epargne,paiement virement to epargne fevrier,EPARGNE
سنديك,apartment location mars,LOGEMENT
سينما,music abonnement mensuel,LOISIRS
Cafe Ben Yedder,paiement diner famille ariana 4362,RESTAURANT
ترفيه,abonnement netflix mensuel,LOISIRS
netflix,gaming achat premium 8355,LOISIRS
random pay,paiement inconnu operation ref778,AUTRE
syndic,loyer appartement mars en ligne,LOGEMENT
apartment owner,paiement loyer,LOGEMENT
home rent,charges immeuble juillet 6952 visa,LOGEMENT
sonede,paiement mobile recharge tunis 377 en ligne,FACTURES
hm,paiement soin capillaire marsa,SHOPPING
shawarma time,pizza commande sousse 4916 visa,RESTAURANT
EPICERIE NOUR,achat alimentaire lac,ALIMENTATION
udemy,school tuition virement,EDUCATION
كراء,apartment location juin,LOGEMENT
salary transfer,salaire paiement janvier,SALAIRE
metro,bus pass sfax,TRANSPORT
كراء,location paiement avril 4914,LOGEMENT
ISP TUNIS,paiement mobile recharge,FACTURES
netflix,weekend loisirs premium,LOISIRS
KHALLAS UNKNOWN,paiement inconnu operation ref778 1349,AUTRE
عيادة,analyse sanguine manar 964,SANTE
universite,book achat semestre 2,EDUCATION
residence lac,paiement loyer fevrier en ligne,LOGEMENT
accessories shop,paiement achat personnel marsa carte bancaire,SHOPPING
صيدلية,paiement bilan de sante sfax,SANTE
قهوة,repas diner ariana,RESTAURANT
divers,autre paiement tunis 4002,AUTRE
plan epargne,reservation argent mai 9894,EPARGNE
coursera,achat livres semestre 1 6074,EDUCATION
ترفيه,paiement jeu video weekend 1618,LOISIRS
steg,telecom facture fiber visa,FACTURES
ترفيه,paiement achat console game en ligne,LOISIRS
GEANT,courses maison tunis mastercard,ALIMENTATION
gamepass,abonnement netflix weekend virement,LOISIRS
سينما,music abonnement avril visa,LOISIRS
taxitunis,transport a tunis,TRANSPORT
residence lac,paiement maison loyer paiement aout,LOGEMENT
لواج,paiement trajet tunis ariana mastercard,TRANSPORT
coffee shop,diner weekend la marsa,RESTAURANT
uber,station travel tunis en ligne,TRANSPORT
حجام,en ligne achat en ligne,SHOPPING
أوريدو,paiement wifi abonnement juin 9712,FACTURES
transport public,trajet tunis marsa,TRANSPORT
pizza hut,restaurant paiement la marsa,RESTAURANT
geant,courses maison sfax 2166,ALIMENTATION
salary,paie mensuelle mars,SALAIRE
grillhouse,diner weekend manar,RESTAURANT
coiffeur homme,mall achat,SHOPPING
steg,mobile recharge 4g,FACTURES
misc,paiement inconnu 2026,AUTRE
wallet reserve,paiement investment epargne juin,EPARGNE
formation center,paiement cours semestre 1,EDUCATION
hr payment,virement salaire juin,SALAIRE
Wifi Bill,paiement facture d'electricite maison 9642,FACTURES
cafe ben yedder,repas diner la marsa,RESTAURANT
dentiste,paiement analyses 3982,SANTE
خدمة,paiement inconnu ref778 en ligne,AUTRE
misc,divers tunis,AUTRE
disney plus,paiement film weekend mensuel,LOISIRS
netflix,weekend loisirs avril,LOISIRS
salon beaute,paiement coupe cheveux lac,SHOPPING
playstation,paiement gaming achat mensuel,LOISIRS
RADIOLOGIE,paiement analyses sousse,SANTE
decathlon,paiement en ligne achat,SHOPPING
Virement Employeur,paiement prime de performance mars 9877,SALAIRE
librairie,paiement training frais 7720,EDUCATION
مختبر,paiement consultation medicale sfax,SANTE
OOREDOO,paiement utility paiement 4g,FACTURES
تكسي,paiement trajet downtown,TRANSPORT
fast food,snack paiement tunis,RESTAURANT
pharma plus,bilan de sante sfax,SANTE
immo service,versement logement avril 2484,LOGEMENT
decathlon,buying accessories en ligne 230 virement,SHOPPING
SERVICE DIVERS,paiement transaction non classee ref001,AUTRE
kfc,pizza commande ariana 3830,RESTAURANT
unknown service,paiement inconnu operation 2026,AUTRE
burger king,repas diner lac,RESTAURANT
حجام,paiement coupe cheveux ariana 7558,SHOPPING
monoprix,paiement courses gabes mastercard,ALIMENTATION
monthly payroll,paiement versement employeur mai 3147,SALAIRE
Clinique,paiement pharmacy achat ariana,SANTE
residence lac,frais logement fevrier 6430 virement,LOGEMENT
pstb,school tuition avril carte bancaire,EDUCATION
hospital,paiement analyse sanguine lac 704,SANTE
disneyplus,cinema ticket famille 4288,LOISIRS
دكان,achat fruits legumes,ALIMENTATION
جامعة,paiement cours semestre 2,EDUCATION
cabinet medical,doctor visit,SANTE
Livret,epargne contribution janvier mastercard,EPARGNE
مطعم المزة,paiement cafe la marsa,RESTAURANT
جامعة,education paiement semestre 2,EDUCATION
rapid transport,trajet paiement marsa,TRANSPORT
تعليم,paiement frais universite avril,EDUCATION
mall achat,paiement fashion achat lac,SHOPPING
virement employeur,mensuel salaire mai virement,SALAIRE
salaire,salaire paiement mars,SALAIRE
عملية,service inconnu 3084,AUTRE
مختبر,paiement bilan medical tunis,SANTE
PLAN EPARGNE,paiement mensuel epargne juin,EPARGNE
STATION METRO,paiement trajet paiement sfax,TRANSPORT
أوريدو,paiement facture juin carte,FACTURES
khallasunknown,operation diverse 2026 160,AUTRE
boucherie slim,paiement paniers cuisine lac 3907,ALIMENTATION
property service,paiement frais logement avril,LOGEMENT
Salon Beaute,paiement achat vetements lac,SHOPPING
isp tunis,paiement recharge internet avril 1137,FACTURES
schoolfees,course abonnement avril,EDUCATION
Salon Beaute,haircut men marsa 8130,SHOPPING
لواج,course taxi tunis,TRANSPORT
عملية,divers 5533,AUTRE
pharma plus,doctor visit manar,SANTE
parfumerie,en ligne achat tunis,SHOPPING
restaurant el bey,achat repas manar,RESTAURANT
landlord,versement logement fevrier,LOGEMENT
Gaming Store,music abonnement avril,LOISIRS
مطعم,paiement dejeuner la marsa,RESTAURANT
coiffeurhomme,coupe cheveux,SHOPPING
magasin general,mouneh maison nabeul,ALIMENTATION
water service,paiement utility paiement mars,FACTURES
livret,epargne mensuelle janvier,EPARGNE
payroll,paiement salaire paiement janvier mastercard,SALAIRE
grill house,fast nourriture commande lac 6913 carte,RESTAURANT
salaire,prime de performance janvier,SALAIRE
rapid transport,ticket louage bizerte,TRANSPORT
misc,transaction non classee en ligne,AUTRE
لواج,transport ville 7434 visa,TRANSPORT
monthly payroll,versement employeur mai,SALAIRE
autre transaction,paiement divers service,AUTRE
campusservice,achat livres semestre 1 8540,EDUCATION
campus service,frais inscription 4608,EDUCATION
parfumerie,paiement coupe cheveux ariana 5257,SHOPPING
مواصلات,paiement transport bizerte 7558 carte,TRANSPORT
مواصلات,paiement trajet paiement sousse,TRANSPORT
FAST FOOD,paiement cafe centre ville,RESTAURANT
WALLET RESERVE,paiement virement to epargne juin,EPARGNE
virement employeur,versement employeur 2026 54,SALAIRE
دكان,achat fruits legumes lac,ALIMENTATION
rapid transport,trajet downtown lac carte,TRANSPORT
unknown merchant,inconnu operation en ligne,AUTRE
صيدلية,paiement soins medicaux sousse carte bancaire,SANTE
xyz123,operation non connue ref001,AUTRE
fruits shop,paiement achat fruits legumes virement,ALIMENTATION
investment saving,epargne versement avril 8931,EPARGNE
CAFE EXPRESS,fast nourriture commande la marsa virement,RESTAURANT
عملية,service inconnu carte,AUTRE
placement,reservation argent 6806,EPARGNE
epicerie el amen,epicerie quotidienne nabeul,ALIMENTATION
autre transaction,inconnu operation 2026 9915,AUTRE
taxi,transport ville marsa,TRANSPORT
yum yum,makloub chawarma manar,RESTAURANT
وكالةعقارية,paiement loyer juillet,LOGEMENT
خدمة,paiement inconnu operation,AUTRE
electric company,internet paiement 4g 6070,FACTURES
dentiste,bilan medical 2446,SANTE
payroll,paiement mensuel salaire juin virement,SALAIRE
librairie,paiement formation data science,EDUCATION
PHARMA PLUS,analyse sanguine manar,SANTE
payroll,versement employeur mars 5755,SALAIRE
TAXI TUNIS,ticket louage ariana,TRANSPORT
restaurantelbey,fast nourriture commande sousse,RESTAURANT
COMPTE EPARGNE,mensuel epargne 8937 visa,EPARGNE
formation center,school tuition,EDUCATION
epicerie nour,paiement courses lac 2189,ALIMENTATION
disney plus,abonnement netflix mensuel 7532 mastercard,LOISIRS
pstb,course abonnement semestre 2 8218,EDUCATION
SONEDE,telecom facture 4g,FACTURES
marche central,paniers cuisine,ALIMENTATION
salary transfer,virement salaire janvier,SALAIRE
monoprix,mouneh maison tunis,ALIMENTATION
RENT APARTMENT,paiement syndic building frais mars,LOGEMENT
عملية,divers service ref778 virement,AUTRE
prime,paiement virement salaire,SALAIRE
ooredoo,mobile recharge juin,FACTURES
fast food,commande repas lac,RESTAURANT
Universite,education paiement semestre 1,EDUCATION
service taxi,paiement transport ville sfax,TRANSPORT
station metro,course taxi sfax,TRANSPORT
Electric Company,water facture,FACTURES
سينما,paiement streaming service,LOISIRS
makloub center,diner weekend sousse,RESTAURANT
مطعم,paiement pizza commande centre ville 1834,RESTAURANT
Disney Plus,abonnement netflix,LOISIRS
Service Divers,paiement inconnu operation,AUTRE
ترفيه,fun activity,LOISIRS
service inconnu,divers,AUTRE
bonus entreprise,revenu mensuel mars carte,SALAIRE
company payroll,paiement virement salaire mai 2386,SALAIRE
syndic,syndic building frais juin,LOGEMENT
cinema,jeu video mars 2829,LOISIRS
KFC,dejeuner centre ville,RESTAURANT
cinema,abonnement netflix mars,LOISIRS
ترفيه,entertainment paiement,LOISIRS
عطار,achat produits alimentaires gabes,ALIMENTATION
عملية,operation non connue tunis,AUTRE
transportpublic,transport a tunis,TRANSPORT
game pass,achat console game,LOISIRS
مختبر,pharmacy achat manar,SANTE
barbershop,paiement soin capillaire marsa,SHOPPING
mobile operator,facture internet maison,FACTURES
bolt,transport a tunis sousse carte bancaire,TRANSPORT
راتب,virement salaire mai,SALAIRE
librairie,paiement education paiement mars,EDUCATION
GEANT,achat epicerie nabeul,ALIMENTATION
hr payment,revenu mensuel mai 6887,SALAIRE
service divers,autre paiement en ligne,AUTRE
epicerie nour,achat fruits legumes lac,ALIMENTATION
Cinema,paiement abonnement plateforme mensuel 6096,LOISIRS
تعليم,frais universite mars,EDUCATION
misc,paiement inconnu operation ref778,AUTRE
عطار,paiement achat produits alimentaires 4633,ALIMENTATION
Savings Transfer,virement to epargne mars 8904 mastercard,EPARGNE
makloub center,paiement carte restaurant ariana,RESTAURANT
online academy,paiement school tuition mars,EDUCATION
aziza,paniers cuisine ariana 1374,ALIMENTATION
salary transfer,paie mensuelle juin,SALAIRE
netflix,streaming service weekend,LOISIRS
kfc,paiement carte restaurant lac,RESTAURANT
DENTISTE,ordonnance medicaments 1418,SANTE
pstb,achat livres semestre 1,EDUCATION
savings transfer,paiement mensuel epargne mars,EPARGNE
وكالة عقارية,frais logement avril,LOGEMENT
agence immobiliere,syndic building frais janvier,LOGEMENT
savings transfer,paiement epargne versement juin 4130 en ligne,EPARGNE
residence ennasr,location paiement juillet 6718,LOGEMENT
decathlon,achat vetements,SHOPPING
طبيب,paiement achat medicaments sfax,SANTE
cabinet medical,paiement analyses tunis 4165 carte,SANTE
investment saving,epargne mensuelle janvier 1862,EPARGNE
medecin,paiement visite medicale tunis,SANTE
راتب,versement employeur 2026,SALAIRE
LOUAGE,trajet travail sousse,TRANSPORT
paie,virement salaire mars,SALAIRE
para pharmacie,paiement analyses manar,SANTE
unknown service,non classe paiement ref001 virement,AUTRE
School Fees,paiement en ligne course mars,EDUCATION
xyz123,paiement operation non connue 2026,AUTRE
amazon,buying accessories tunis en ligne,SHOPPING
amazon,paiement mall achat en ligne 3680,SHOPPING
metro,paiement uber trajet sousse,TRANSPORT
para pharmacie,ordonnance medicaments sousse visa,SANTE
تعليم,school tuition mars,EDUCATION
random pay,divers service 2026 mastercard,AUTRE
grill house,paiement achat repas ariana 2714,RESTAURANT
Louage,paiement transport ville bizerte,TRANSPORT
Station Metro,course taxi bizerte,TRANSPORT
saving account,paiement placement personnel fevrier,EPARGNE
para pharmacie,analyses sfax,SANTE
barber shop,achat clothes ariana carte,SHOPPING
sntri,trajet paiement lac carte bancaire,TRANSPORT
compte epargne,paiement reservation argent janvier,EPARGNE
Para Pharmacie,achat medicament manar carte bancaire,SANTE
saving account,paiement virement to epargne fevrier 6765,EPARGNE
كراء,maison loyer paiement juillet,LOGEMENT
steam,gaming achat,LOISIRS
Virement Employeur,bonus entreprise fevrier,SALAIRE
livret,virement epargne juin,EPARGNE
randompay,paiement inconnu ref778 105 visa,AUTRE
hr payment,paiement company payroll fevrier,SALAIRE
station metro,station travel marsa,TRANSPORT
clinique el amen,achat medicaments sfax,SANTE
decathlon,achat personnel centre ville en ligne,SHOPPING
amazon,achat vetements marsa,SHOPPING
Steam,film weekend mars,LOISIRS
xbox,paiement jeu video avril 4721,LOISIRS
paie,virement salaire 2026,SALAIRE
prime,paiement mensuel salaire mai,SALAIRE
PLAN EPARGNE,paiement placement personnel mars,EPARGNE
coiffeurhomme,en ligne achat centre ville,SHOPPING
service taxi,ticket louage marsa virement,TRANSPORT
mall achat,paiement buying accessories ariana,SHOPPING
decathlon,achat vetements ariana,SHOPPING
game pass,film weekend weekend,LOISIRS
epicerienour,achat cuisine 6021,ALIMENTATION
chapati house,paiement cafe lac,RESTAURANT
steam,abonnement netflix,LOISIRS
أوريدو,wifi abonnement mai 743,FACTURES
unknown service,transaction non classee ref778,AUTRE
bus,paiement trajet downtown marsa,TRANSPORT
kfc,restaurant paiement la marsa,RESTAURANT
epicerie el amen,paiement courses maison sousse 401 mastercard,ALIMENTATION
fresh market,epicerie quotidienne gabes visa,ALIMENTATION
placement,placement personnel janvier,EPARGNE
bolt,transport a tunis ariana,TRANSPORT
Hospital,visite medicale manar,SANTE
قهوة,lunch meal manar 1377,RESTAURANT
salary transfer,paiement versement employeur avril,SALAIRE
netflix,music abonnement weekend,LOISIRS
Kfc,paiement pizza commande ariana,RESTAURANT
uber,paiement transport ville ariana,TRANSPORT
pstb,paiement university paiement 7608 carte,EDUCATION
librairie,achat livres semestre 2 en ligne,EDUCATION
universite,paiement education paiement 2026,EDUCATION
online academy,paiement book achat mars 8341,EDUCATION
shawarma time,coffee break centre ville,RESTAURANT
hm,paiement achat sport lac 6162 en ligne,SHOPPING
universite,paiement university paiement semestre 2 8131,EDUCATION
مواصلات,paiement transport lac,TRANSPORT
propertyservice,maison loyer paiement aout 5236,LOGEMENT
salary,paiement company payroll mai,SALAIRE
epicerie nour,paiement achat epicerie ariana 8150,ALIMENTATION
SALON BEAUTE,mall achat tunis,SHOPPING
company payroll,versement employeur fevrier,SALAIRE
placement,epargne contribution fevrier visa,EPARGNE
payroll,paiement virement salaire fevrier 4554,SALAIRE
فاتورة,recharge internet avril,FACTURES
عطار,paiement grocery achat nabeul,ALIMENTATION
monoprix,paiement supermarket achat gabes,ALIMENTATION
shopping center,coupe cheveux marsa virement,SHOPPING
steam,jeu video famille,LOISIRS
louage,paiement transport ville ariana,TRANSPORT
sport club fun,gaming achat mensuel 5626,LOISIRS
Company Payroll,paiement paie mensuelle janvier en ligne,SALAIRE
decathlon,fashion achat carte bancaire,SHOPPING
clinique,paiement bilan de sante sfax,SANTE
Formation Center,education paiement,EDUCATION
service taxi,uber trajet marsa 7221,TRANSPORT
أوريدو,wifi abonnement juin 543 carte bancaire,FACTURES
sntri,paiement transport bizerte,TRANSPORT
investment saving,paiement epargne versement juin 5380,EPARGNE
Agence Immobiliere,paiement loyer mensuel,LOGEMENT
payroll,virement salaire janvier,SALAIRE
hr payment,mensuel salaire janvier,SALAIRE
epicerie el amen,achat epicerie,ALIMENTATION
campus service,school tuition mars en ligne,EDUCATION
universite,school tuition,EDUCATION
CAFE EXPRESS,diner famille la marsa 2736,RESTAURANT
monthly payroll,virement salaire,SALAIRE
investment saving,placement personnel janvier,EPARGNE
zara,paiement soin capillaire tunis,SHOPPING
khallas unknown,paiement service inconnu,AUTRE
bus,paiement transport ville sfax 9953,TRANSPORT
taxi,transport a tunis lac 2608,TRANSPORT
virement employeur,paiement paie mensuelle janvier 3928,SALAIRE
Savings Transfer,paiement epargne versement fevrier 4469,EPARGNE
مختبر,bilan medical lac,SANTE
مواصلات,trajet tunis marsa,TRANSPORT
Online Academy,paiement education paiement semestre 2,EDUCATION
bus,paiement uber trajet tunis 6010,TRANSPORT
khallasunknown,paiement operation non connue ref778,AUTRE
prime,paiement revenu mensuel mars,SALAIRE
isp tunis,facture mobile mai,FACTURES
Wallet Reserve,virement to epargne fevrier,EPARGNE
campusservice,paiement course abonnement mars,EDUCATION
compte epargne,epargne contribution juin,EPARGNE
misc,inconnu operation tunis,AUTRE
فاتورة,paiement recharge internet juin,FACTURES
campus service,paiement course abonnement semestre 1,EDUCATION
salaire,virement salaire mars 953,SALAIRE
مواصلات,paiement transport ariana 2046,TRANSPORT
zara,soin capillaire en ligne en ligne,SHOPPING
coursera,formation data science 6468,EDUCATION
pharma plus,soins medicaux sousse,SANTE
pharma plus,ordonnance medicaments lac,SANTE
pharma plus,paiement bilan de sante,SANTE
mobile operator,utility paiement 4g,FACTURES
gareroutiere,uber trajet marsa,TRANSPORT
steam,paiement gaming achat avril 1268,LOISIRS
مطعم المزة,snack paiement manar visa,RESTAURANT
salon beaute,paiement coupe cheveux lac,SHOPPING
دكان,paiement mouneh maison nabeul 4709,ALIMENTATION
wallet reserve,paiement virement to epargne fevrier,EPARGNE
Medecin,pharmacy achat lac,SANTE
steg,paiement water facture juin,FACTURES
mg,paiement epicerie quotidienne ariana 5515 mastercard,ALIMENTATION
grill house,repas diner ariana,RESTAURANT
carrefour,mouneh maison sousse,ALIMENTATION
medecin,doctor visit ariana 1461,SANTE
accessories shop,paiement coupe cheveux centre ville 3040,SHOPPING
louage,ticket louage marsa,TRANSPORT
electric company,paiement facture d'electricite tunis,FACTURES
mobile operator,facture d'electricite juin,FACTURES
bolt,ticket metro lac,TRANSPORT
قهوة,diner weekend ariana,RESTAURANT
udemy,paiement school tuition avril 2553,EDUCATION
hanout,paiement courses tunis,ALIMENTATION
location maison,location paiement juin 6684,LOGEMENT
savingstransfer,virement to epargne janvier 5422,EPARGNE
epargne,paiement virement epargne janvier,EPARGNE
compte epargne,virement epargne 9278,EPARGNE
UDEMY,paiement frais universite semestre 1,EDUCATION
prime,mensuel salaire avril,SALAIRE
water service,recharge internet tunis en ligne,FACTURES
FRUITS SHOP,nourriture groceries gabes,ALIMENTATION
property service,maison loyer paiement janvier,LOGEMENT
randompay,non classe paiement tunis,AUTRE
فاتورة,water facture 2267,FACTURES
pstb,achat livres 2026,EDUCATION
autre transaction,paiement autre paiement tunis 7520 virement,AUTRE
home rent,paiement loyer appartement fevrier,LOGEMENT
wifibill,paiement facture,FACTURES
metro,ticket louage en ligne,TRANSPORT
steam,gaming achat premium visa,LOISIRS
ترفيه,weekend loisirs mars,LOISIRS
salon beaute,coupe cheveux en ligne,SHOPPING
وكالة عقارية,apartment location septembre carte,LOGEMENT
bus,transport ville,TRANSPORT
Epicerie Nour,paiement achats menageres tunis 4647,ALIMENTATION
wifibill,mobile recharge tunis,FACTURES
restaurant la marsa,diner weekend sousse,RESTAURANT
geant,paiement grocery achat,ALIMENTATION
Bonus Entreprise,paiement bonus entreprise mai 383,SALAIRE
سوق,paiement epicerie quotidienne sfax,ALIMENTATION
grillhouse,restaurant paiement sousse,RESTAURANT
hospital,soins medicaux,SANTE
Formation Center,book achat mars,EDUCATION
RADIOLOGIE,pharmacy achat ariana 7528,SANTE
steam,cinema ticket mars 1150,LOISIRS
clinique,paiement bilan de sante tunis,SANTE
mobile operator,paiement facture maison,FACTURES
Bus,paiement trajet downtown sfax,TRANSPORT
bershka,achat personnel marsa,SHOPPING
epargne,paiement virement to epargne fevrier,EPARGNE
taxi,trajet travail bizerte 8832,TRANSPORT
playstation,entertainment paiement mars,LOISIRS
Steam,paiement film weekend mensuel,LOISIRS
savings transfer,investment epargne juin,EPARGNE
LABORATOIRE,paiement visite medicale sousse,SANTE
DIVERS,paiement divers service ref001 6449,AUTRE
residenceennasr,maison loyer paiement 898,LOGEMENT
livret,virement epargne avril visa,EPARGNE
unknown service,divers 2026 8655,AUTRE
ترفيه,music abonnement mensuel,LOISIRS
عطار,nourriture groceries sousse,ALIMENTATION
divers,operation non connue,AUTRE
dentiste,paiement doctor visit tunis 9829 en ligne,SANTE
campus service,book achat semestre 1 5795,EDUCATION
boucherieslim,paiement achat produits alimentaires manouba 3845,ALIMENTATION
Bolt,bus pass marsa carte bancaire,TRANSPORT
Online Academy,education paiement avril,EDUCATION
school fees,school tuition 2026,EDUCATION
COMPANY PAYROLL,bonus entreprise mai 571,SALAIRE
مواصلات,paiement uber trajet sfax 6888 carte,TRANSPORT
pharma plus,soins medicaux ariana 4265 mastercard,SANTE
bonus entreprise,paiement virement salaire mars,SALAIRE
اتصالات تونس,wifi abonnement mai,FACTURES
rapid transport,paiement transport tunis,TRANSPORT
SAVING ACCOUNT,paiement epargne mensuelle,EPARGNE
سينما,achat console game premium,LOISIRS
عملية,autre paiement 9763,AUTRE
accessories shop,hjema centre ville,SHOPPING
قهوة,diner famille la marsa,RESTAURANT
hr payment,paiement virement salaire avril 2382,SALAIRE
Prime,company payroll 2026,SALAIRE
uber,paiement trajet downtown sousse,TRANSPORT
accessoriesshop,paiement coupe cheveux tunis,SHOPPING
companypayroll,paie mensuelle janvier,SALAIRE
monthly payroll,paiement company payroll avril 4845,SALAIRE
game pass,weekend loisirs 6257,LOISIRS
Cinema,paiement cinema ticket 6256,LOISIRS
Xbox,abonnement plateforme famille,LOISIRS
عيادة,achat medicaments,SANTE
Aziza,mouneh maison gabes,ALIMENTATION
game pass,abonnement plateforme mars,LOISIRS
مواصلات,paiement transport ville carte,TRANSPORT
savings transfer,mensuel epargne mars,EPARGNE
payroll,paie mensuelle avril,SALAIRE
مكتبة,paiement education paiement avril visa,EDUCATION
steam,paiement jeu video avril 8060,LOISIRS
INTERNET PROVIDER,paiement facture avril virement,FACTURES
salary,mensuel salaire avril 179 en ligne,SALAIRE
salary transfer,paiement virement salaire juin 2554,SALAIRE
metro,station travel marsa mastercard,TRANSPORT
spotify,abonnement netflix mars,LOISIRS
صيدلية,achat medicaments lac,SANTE
radiologie,doctor visit tunis,SANTE
salarytransfer,prime de performance avril 8877,SALAIRE
walletreserve,epargne contribution juin,EPARGNE
home rent,loyer mensuel mars carte bancaire,LOGEMENT
سنديك,paiement loyer septembre,LOGEMENT
location maison,paiement loyer juin,LOGEMENT
كراء,loyer appartement janvier,LOGEMENT
service inconnu,paiement inconnu 428 carte,AUTRE
payroll,company payroll fevrier carte bancaire,SALAIRE
immoservice,paiement residence frais mai,LOGEMENT
yum yum,paiement commande repas la marsa 2484 carte,RESTAURANT
universite,paiement university paiement avril 6519 visa,EDUCATION
propertyservice,residence frais,LOGEMENT
loyer,paiement charges immeuble mars,LOGEMENT
تكسي,transport ville marsa carte bancaire,TRANSPORT
steg,paiement telecom facture avril,FACTURES
راتب,company payroll carte bancaire,SALAIRE
wifi bill,internet paiement mars,FACTURES
وكالة عقارية,paiement syndic building frais juillet,LOGEMENT
cliniqueelamen,bilan de sante sfax 7442,SANTE
chapati house,paiement dejeuner ariana,RESTAURANT
طبيب,paiement achat medicament lac,SANTE
Isp Tunis,paiement facture d'electricite tunis 9438,FACTURES
taxi,paiement ticket louage sousse,TRANSPORT
taxi tunis,transport quotidien sousse carte bancaire,TRANSPORT
سينما,entertainment paiement,LOISIRS
game pass,paiement entertainment paiement mars 1367,LOISIRS
campus service,book achat avril,EDUCATION
عملية,paiement inconnu,AUTRE
حجام,en ligne achat centre ville,SHOPPING
unknown merchant,paiement inconnu operation tunis 2512,AUTRE
KFC,paiement cafe avec amis manar visa,RESTAURANT
RADIOLOGIE,ordonnance medicaments lac,SANTE
gamingstore,abonnement netflix premium,LOISIRS
سوق,paiement epicerie quotidienne nabeul carte,ALIMENTATION
tunisie telecom,paiement mobile recharge 4g,FACTURES
monthly payroll,paiement salaire paiement avril,SALAIRE
أوريدو,paiement facture,FACTURES
khallas unknown,paiement inconnu operation en ligne 6220,AUTRE
paie,paiement prime de performance 2026,SALAIRE
louage,paiement ticket louage bizerte 4036,TRANSPORT
residence lac,loyer appartement juin,LOGEMENT
راتب,virement salaire mai,SALAIRE
sntri,paiement course taxi sfax carte bancaire,TRANSPORT
xbox,paiement music abonnement mensuel,LOISIRS
Udemy,school tuition,EDUCATION
Epargne,paiement investment epargne mars,EPARGNE
خدمة,paiement divers ref001,AUTRE
Hr Payment,paiement virement salaire janvier virement,SALAIRE
school fees,en ligne course,EDUCATION
CINEMA,weekend loisirs mensuel 3905,LOISIRS
station metro,course taxi lac,TRANSPORT
taxi,paiement trajet tunis sfax 5290,TRANSPORT
barber shop,achat clothes tunis,SHOPPING
game pass,streaming service famille,LOISIRS
khallas unknown,operation non connue tunis,AUTRE
مكتبة,education paiement mars,EDUCATION
apartment owner,syndic building frais juin,LOGEMENT
water service,utility paiement avril,FACTURES
UNKNOWN MERCHANT,operation non connue 2026 2938,AUTRE
salary transfer,paiement company payroll mai,SALAIRE
souk,boucherie alimentation ariana,ALIMENTATION
عملية,autre paiement tunis 3678,AUTRE
Location Maison,paiement location paiement juin,LOGEMENT
chapati house,diner weekend centre ville,RESTAURANT
